id,drug_names,drugbank_identifier,pubchem_identifier,conditions,ICD_top_level_name,drugbank_id_A,drugbank_id_B,Combination_Count
NCT00002610,"[[""etoposide"", ""VP-16""], [""carboplatin"", ""carboplatin""]]","[""DB00773"", ""DB00958""]","[""CID36462"", ""-1""]",kidney cancer,Diseases of the urinary system,DB00773,DB00958,1
NCT00002649,"[[""etoposide"", ""VP-16"", ""VP-16"", ""etoposide""], [""cyclophosphamide"", ""cytoxan"", ""Endoxan"", ""cyclophosphamide"", ""cyclophosphamide""]]","[""DB00773"", ""DB00531""]","[""CID36462"", ""CID2907""]",recurrent adult burkitt lymphoma,Neoplasms,DB00773,DB00531,48
NCT00002651,"[[""bicalutamide""], [""goserelin""]]","[""DB01128"", ""DB00014""]","[""CID2375"", ""CID5311128""]",prostate cancer,Diseases of the male genital system,DB01128,DB00014,7
NCT00002678,"[[""prednisone""], [""melphalan""]]","[""DB00635"", ""DB01042""]","[""-1"", ""-1""]",multiple myeloma and plasma cell neoplasm,Neoplasms,DB00635,DB01042,1
NCT00002779,"[[""fludarabine""], [""octreotide acetate""]]","[""DB01073"", ""DB00104""]","[""-1"", ""CID6917964""]",lymphoma,Neoplasms,DB01073,DB00104,1
NCT00002832,"[[""decitabine"", ""Dacogen""], [""cyclosporine"", ""cyclosporine"", ""Sandimmune"", ""cyclosporine""]]","[""DB01262"", ""DB00091""]","[""CID451668"", ""CID5284373""]",leukemia,Neoplasms,DB01262,DB00091,2
NCT00002850,"[[""ciprofloxacin"", ""Cipro""], [""ofloxacin"", ""Floxin""]]","[""DB00537"", ""DB01165""]","[""CID2764"", ""CID149096""]",infection,Certain infectious or parasitic diseases,DB00537,DB01165,1
NCT00002850,"[[""ciprofloxacin"", ""Cipro""], [""ofloxacin"", ""Floxin""]]","[""DB00537"", ""DB01165""]","[""CID2764"", ""CID149096""]",multiple myeloma,Neoplasms,DB00537,DB01165,1
NCT00002852,"[[""paclitaxel"", ""Asotax"", ""taxol"", ""paclitaxel"", ""Anzatax""], [""carboplatin"", ""Paraplatin"", ""Carboplat"", ""carboplatin"", ""JM-8"", ""Paraplatin""]]","[""DB01229"", ""DB00958""]","[""CID36314"", ""CID10339178""]",adenocarcinoma of the lung,Neoplasms of the respiratory system,DB01229,DB00958,245
NCT00002944,"[[""carboplatin"", ""Paraplatin"", ""NSC-241240""], [""vincristine sulfate"", ""Oncovin""]]","[""DB00958"", ""DB00541""]","[""CID10339178"", ""CID5388992""]",brain tumors,Neoplasms of brain or central nervous system,DB00958,DB00541,25
NCT00002949,"[[""paclitaxel""], [""vinorelbine""]]","[""DB01229"", ""DB00361""]","[""-1"", ""CID60780""]",bladder cancer,Diseases of the urinary system,DB01229,DB00361,1
NCT00002949,"[[""paclitaxel""], [""vinorelbine""]]","[""DB01229"", ""DB00361""]","[""-1"", ""CID60780""]",cervical cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01229,DB00361,3
NCT00002951,"[[""fluorouracil""], [""hydroxyurea""]]","[""DB00544"", ""DB01005""]","[""-1"", ""CID3657""]",esophageal cancer,Diseases of oesophagus,DB00544,DB01005,1
NCT00002951,"[[""fluorouracil""], [""hydroxyurea""]]","[""DB00544"", ""DB01005""]","[""-1"", ""CID3657""]",head and neck cancer,Neoplasms of the nervous system,DB00544,DB01005,1
NCT00003019,"[[""methotrexate"", ""methotrexate"", ""methotrexate""], [""vinblastine sulfate"", ""Velban"", ""vinblastine""]]","[""DB00563"", ""DB00570""]","[""CID126941"", ""CID5388983""]",desmoid tumor,Neoplasms of the circulatory system,DB00563,DB00570,1
NCT00003118,"[[""fluorouracil""], [""cisplatin""]]","[""DB00544"", ""DB00515""]","[""-1"", ""-1""]",esophageal cancer,Diseases of oesophagus,DB00544,DB00515,26
NCT00003178,"[[""idarubicin"", ""Idamycin""], [""cladribine"", ""cladribine"", ""cladribine"", ""Leustatin""]]","[""DB01177"", ""DB00242""]","[""CID42890"", ""CID20279""]",leukemia,Neoplasms,DB01177,DB00242,3
NCT00003204,"[[""fludarabine"", ""Beneflur"", ""Fludara""], [""cyclophosphamide"", ""cytoxan"", ""cyclophosphamide"", ""cyclophosphamide"", ""Endoxan""]]","[""DB01073"", ""DB00531""]","[""CID30751"", ""CID2907""]",stage iii grade 1 follicular lymphoma,Neoplasms,DB01073,DB00531,595
NCT00003213,"[[""dexamethasone"", ""dexamethasone""], [""metoclopramide""]]","[""DB01234"", ""DB01233""]","[""CID5743"", ""CID4168""]",nausea and vomiting,"Symptoms, signs or clinical findings, not elsewhere classified",DB01234,DB01233,1
NCT00003213,"[[""dexamethasone"", ""dexamethasone""], [""granisetron hydrochloride"", ""kytril""]]","[""DB01234"", ""DB00889""]","[""CID5743"", ""-1""]",nausea and vomiting,"Symptoms, signs or clinical findings, not elsewhere classified",DB01234,DB00889,6
NCT00003255,"[[""topotecan hydrochloride""], [""carboplatin""]]","[""DB01030"", ""DB00958""]","[""CID60699"", ""-1""]",leukemia,Neoplasms,DB01030,DB00958,1
NCT00003281,"[[""topotecan hydrochloride""], [""paclitaxel""]]","[""DB01030"", ""DB01229""]","[""CID60699"", ""-1""]",lung cancer,Neoplasms of the respiratory system,DB01030,DB01229,2
NCT00003311,"[[""cytarabine""], [""methotrexate""]]","[""DB00987"", ""DB00563""]","[""CID6253"", ""CID126941""]",lymphoma,Neoplasms,DB00987,DB00563,3
NCT00003323,"[[""flutamide""], [""finasteride""]]","[""DB00499"", ""DB01216""]","[""CID3397"", ""CID57363""]",prostate cancer,Diseases of the male genital system,DB00499,DB01216,1
NCT00003323,"[[""flutamide""], [""finasteride""]]","[""DB00499"", ""DB01216""]","[""CID3397"", ""CID57363""]",sexual dysfunction and infertility,Diseases of the female genital system,DB00499,DB01216,1
NCT00003377,"[[""paclitaxel""], [""cisplatin""]]","[""DB01229"", ""DB00515""]","[""-1"", ""-1""]",cervical cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01229,DB00515,32
NCT00003416,"[[""melphalan""], [""dexamethasone""]]","[""DB01042"", ""DB01234""]","[""-1"", ""CID5743""]",lymphoma,Neoplasms,DB01042,DB01234,7
NCT00003564,"[[""procarbazine hydrochloride""], [""isotretinoin"", ""accutanes"", ""isotretinoin""]]","[""DB01168"", ""DB00982""]","[""CID9703"", ""CID5282379""]",brain and central nervous system tumors,Neoplasms,DB01168,DB00982,1
NCT00003575,"[[""etoposide""], [""ifosfamide""]]","[""DB00773"", ""DB01181""]","[""-1"", ""CID3690""]",lymphoma,Neoplasms,DB00773,DB01181,2
NCT00003594,"[[""oxaliplatin""], [""irinotecan""]]","[""DB00526"", ""DB00762""]","[""CID11947679"", ""CID60838""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00526,DB00762,8
NCT00003612,"[[""paclitaxel""], [""carboplatin""]]","[""DB01229"", ""DB00958""]","[""-1"", ""-1""]",breast cancer,Disorders of breast,DB01229,DB00958,21
NCT00003622,"[[""vinorelbine""], [""paclitaxel""]]","[""DB00361"", ""DB01229""]","[""CID60780"", ""-1""]",prostate cancer,Diseases of the male genital system,DB00361,DB01229,1
NCT00003644,"[[""carboplatin""], [""paclitaxel""]]","[""DB00958"", ""DB01229""]","[""-1"", ""-1""]",ovarian cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00958,DB01229,135
NCT00003694,"[[""omacetaxine"", ""CGX-635"", ""omacetaxine mepesuccinate""], [""cytarabine"", ""cytarabine"", ""cytosar"", ""cytarabine"", ""cytarabine"", ""Ara-C""]]","[""DB04865"", ""DB00987""]","[""CID65305"", ""CID6253""]","chronic myelogenous leukemia, bcr-abl1 positive",Neoplasms,DB04865,DB00987,2
NCT00003782,"[[""docetaxel"", ""Taxotere""], [""doxorubicin"", ""Adriamycin""]]","[""DB01248"", ""DB00997""]","[""CID148124"", ""-1""]",breast cancer,Disorders of breast,DB01248,DB00997,2
NCT00003816,"[[""busulfan""], [""cyclophosphamide""]]","[""DB01008"", ""DB00531""]","[""CID2478"", ""-1""]",leukemia,Neoplasms,DB01008,DB00531,108
NCT00003816,"[[""busulfan""], [""cyclophosphamide""]]","[""DB01008"", ""DB00531""]","[""CID2478"", ""-1""]",nonmalignant neoplasm,Neoplasms of brain or central nervous system,DB01008,DB00531,2
NCT00003816,"[[""cyclophosphamide""], [""etoposide""]]","[""DB00531"", ""DB00773""]","[""-1"", ""-1""]",nonmalignant neoplasm,Neoplasms of brain or central nervous system,DB00531,DB00773,1
NCT00003816,"[[""melphalan""], [""fludarabine""]]","[""DB01042"", ""DB01073""]","[""-1"", ""-1""]",leukemia,Neoplasms,DB01042,DB01073,110
NCT00003816,"[[""melphalan""], [""fludarabine""]]","[""DB01042"", ""DB01073""]","[""-1"", ""-1""]",nonmalignant neoplasm,Neoplasms of brain or central nervous system,DB01042,DB01073,1
NCT00003838,"[[""methotrexate"", ""methotrexate""], [""cyclosporine"", ""cyclosporine""]]","[""DB00563"", ""DB00091""]","[""CID126941"", ""CID5284373""]",myeloproliferative disorders,Neoplasms,DB00563,DB00091,10
NCT00003875,"[[""busulfan"", ""busulfan"", ""Myeloleukon"", ""Mitosan"", ""Misulfan"", ""busulfan""], [""etoposide"", ""VP-16"", ""etoposide"", ""VP-16""]]","[""DB01008"", ""DB00773""]","[""CID2478"", ""CID36462""]",adult acute myeloid leukemia in remission,Neoplasms,DB01008,DB00773,8
NCT00003900,"[[""docetaxel""], [""irinotecan""]]","[""DB01248"", ""DB00762""]","[""CID148124"", ""CID60838""]",lung cancer,Neoplasms of the respiratory system,DB01248,DB00762,2
NCT00003935,"[[""vincristine sulfate"", ""Oncovin"", ""vincristine""], [""etoposide"", ""VP-16""]]","[""DB00541"", ""DB00773""]","[""CID5388992"", ""CID36462""]",brain tumors,Neoplasms of brain or central nervous system,DB00541,DB00773,2
NCT00003994,"[[""carboplatin"", ""Paraplatin"", ""Carboplat"", ""carboplatin"", ""Paraplatin"", ""JM-8""], [""cisplatin"", ""cisplatin"", ""cisplatin"", ""cisplatin"", ""cisplatin""]]","[""DB00958"", ""DB00515""]","[""CID10339178"", ""-1""]",childhood hepatoblastoma,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00958,DB00515,4
NCT00004001,"[[""estramustine""], [""docetaxel""]]","[""DB01196"", ""DB01248""]","[""CID259331"", ""CID148124""]",prostate cancer,Diseases of the male genital system,DB01196,DB01248,1
NCT00004001,"[[""prednisone""], [""mitoxantrone""]]","[""DB00635"", ""DB01204""]","[""-1"", ""-1""]",prostate cancer,Diseases of the male genital system,DB00635,DB01204,15
NCT00004126,"[[""oxaliplatin""], [""paclitaxel""]]","[""DB00526"", ""DB01229""]","[""CID11947679"", ""-1""]",lung cancer,Neoplasms of the respiratory system,DB00526,DB01229,1
NCT00004135,"[[""fludarabine""], [""cyclophosphamide""]]","[""DB01073"", ""DB00531""]","[""-1"", ""-1""]",kidney cancer,Diseases of the urinary system,DB01073,DB00531,22
NCT00004142,"[[""floxuridine""], [""fluorouracil"", ""Efudex"", ""fluorouracil"", ""fluorouracil"", ""Adrucil""]]","[""DB00322"", ""DB00544""]","[""CID5790"", ""-1""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00322,DB00544,2
NCT00004235,"[[""irinotecan""], [""docetaxel""]]","[""DB00762"", ""DB01248""]","[""CID60838"", ""CID148124""]",esophageal cancer,Diseases of oesophagus,DB00762,DB01248,12
NCT00004235,"[[""irinotecan""], [""docetaxel""]]","[""DB00762"", ""DB01248""]","[""CID60838"", ""CID148124""]",gastric cancer,Diseases of the stomach or the duodenum,DB00762,DB01248,8
NCT00004259,"[[""temozolomide""], [""carmustine""]]","[""DB00853"", ""DB00262""]","[""CID5394"", ""CID2578""]",brain and central nervous system tumors,Neoplasms,DB00853,DB00262,2
NCT00004259,"[[""ccnu""], [""carmustine""]]","[""DB01206"", ""DB00262""]","[""CID3950"", ""CID2578""]",brain and central nervous system tumors,Neoplasms,DB01206,DB00262,1
NCT00004266,"[[""nifedipine""], [""simvastatin""]]","[""DB01115"", ""DB00641""]","[""CID4485"", ""CID54454""]",diabetic nephropathy,Chronic kidney disease,DB01115,DB00641,1
NCT00004266,"[[""lisinopril""], [""simvastatin""]]","[""DB00722"", ""DB00641""]","[""CID5362119"", ""CID54454""]",diabetic nephropathy,Chronic kidney disease,DB00722,DB00641,1
NCT00004554,"[[""naltrexone""], [""sertraline""]]","[""DB00704"", ""DB01104""]","[""CID5360515"", ""CID68617""]",depression,Mood disorders,DB00704,DB01104,1
NCT00004862,"[[""fludarabine""], [""cytarabine""]]","[""DB01073"", ""DB00987""]","[""-1"", ""CID6253""]",leukemia,Neoplasms,DB01073,DB00987,3
NCT00005087,"[[""cisplatin""], [""paclitaxel""]]","[""DB00515"", ""DB01229""]","[""-1"", ""-1""]",head and neck cancer,Neoplasms of the nervous system,DB00515,DB01229,12
NCT00005113,"[[""tacrolimus""], [""cyclosporine"", ""cyclosporine""]]","[""DB00864"", ""DB00091""]","[""CID445643"", ""CID5284373""]",end-stage renal disease,Diseases of the urinary system,DB00864,DB00091,1
NCT00005113,"[[""tacrolimus""], [""cyclosporine"", ""cyclosporine""]]","[""DB00864"", ""DB00091""]","[""CID445643"", ""CID5284373""]",kidney transplantation,Postprocedural disorders of eye or ocular adnexa,DB00864,DB00091,2
NCT00005963,"[[""carboplatin""], [""docetaxel""]]","[""DB00958"", ""DB01248""]","[""-1"", ""CID148124""]",breast cancer,Disorders of breast,DB00958,DB01248,21
NCT00006024,"[[""temozolomide""], [""lomustine""]]","[""DB00853"", ""DB01206""]","[""CID5394"", ""CID3950""]",brain tumor,Neoplasms of brain or central nervous system,DB00853,DB01206,7
NCT00006094,"[[""oxaliplatin"", ""Dacotin"", ""DACPLAT"", ""Eloxatin"", ""oxaliplatin""], [""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil""]]","[""DB00526"", ""DB00544""]","[""CID11947679"", ""-1""]",adenocarcinoma of the rectum,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00526,DB00544,17
NCT00006111,"[[""cisplatin""], [""fluorouracil""]]","[""DB00515"", ""DB00544""]","[""-1"", ""-1""]",bladder cancer,Diseases of the urinary system,DB00515,DB00544,6
NCT00006363,"[[""cytarabine"", ""cytarabine"", ""cytarabine"", ""Ara-C"", ""cytarabine"", ""cytosar""], [""etoposide"", ""VP-16"", ""etoposide"", ""VP-16""]]","[""DB00987"", ""DB00773""]","[""CID6253"", ""CID36462""]",adult acute basophilic leukemia,Neoplasms,DB00987,DB00773,30
NCT00006760,"[[""vinorelbine""], [""ifosfamide""]]","[""DB00361"", ""DB01181""]","[""CID60780"", ""CID3690""]",lymphoma,Neoplasms,DB00361,DB01181,1
NCT00006890,"[[""prednisone""], [""thalidomide""]]","[""DB00635"", ""DB01041""]","[""-1"", ""-1""]",multiple myeloma and plasma cell neoplasm,Neoplasms,DB00635,DB01041,2
NCT00008450,"[[""mycophenolate mofetil"", ""Cellcept"", ""mycophenolate mofetil""], [""cyclosporine"", ""cyclosporine"", ""Sandimmune"", ""sangcya"", ""Sandimmune"", ""cyclosporine"", ""cyclosporine"", ""cyclosporine"", ""Gengraf""]]","[""DB00688"", ""DB00091""]","[""CID5281078"", ""CID5284373""]",adenosine deaminase deficiency,Disorders of lymphocyte function,DB00688,DB00091,4
NCT00008450,"[[""mycophenolate mofetil"", ""Cellcept"", ""mycophenolate mofetil""], [""cyclosporine"", ""cyclosporine"", ""Sandimmune"", ""sangcya"", ""Sandimmune"", ""cyclosporine"", ""cyclosporine"", ""cyclosporine"", ""Gengraf""]]","[""DB00688"", ""DB00091""]","[""CID5281078"", ""CID5284373""]",immune system disorder,Diseases of the immune system,DB00688,DB00091,2
NCT00008450,"[[""mycophenolate mofetil"", ""Cellcept"", ""mycophenolate mofetil""], [""cyclosporine"", ""cyclosporine"", ""Sandimmune"", ""sangcya"", ""Sandimmune"", ""cyclosporine"", ""cyclosporine"", ""cyclosporine"", ""Gengraf""]]","[""DB00688"", ""DB00091""]","[""CID5281078"", ""CID5284373""]",purine-nucleoside phosphorylase deficiency,Metabolic disorders,DB00688,DB00091,2
NCT00009737,"[[""leucovorin""], [""fluorouracil""]]","[""DB00650"", ""DB00544""]","[""CID6106"", ""-1""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00650,DB00544,10
NCT00009984,"[[""thalidomide"", ""Thalomid"", ""Kevadon"", ""thalidomide""], [""fludarabine"", ""Beneflur"", ""Fludara""]]","[""DB01041"", ""DB01073""]","[""-1"", ""CID30751""]",refractory chronic lymphocytic leukemia,Neoplasms,DB01041,DB01073,2
NCT00010257,"[[""carboplatin"", ""Paraplatin"", ""carboplatin"", ""JM-8""], [""paclitaxel"", ""taxol""]]","[""DB00958"", ""DB01229""]","[""CID10339178"", ""CID36314""]",thymoma,Diseases of thymus,DB00958,DB01229,2
NCT00014196,"[[""cisplatin""], [""docetaxel""]]","[""DB00515"", ""DB01248""]","[""-1"", ""CID148124""]",lung cancer,Neoplasms of the respiratory system,DB00515,DB01248,20
NCT00015938,"[[""vinorelbine""], [""docetaxel""]]","[""DB00361"", ""DB01248""]","[""CID60780"", ""CID148124""]",breast cancer,Disorders of breast,DB00361,DB01248,2
NCT00017251,"[[""carboplatin"", ""Paraplatin"", ""Paraplatin"", ""JM-8"", ""carboplatin"", ""Carboplat""], [""etoposide"", ""etoposide"", ""VP-16"", ""VP-16""]]","[""DB00958"", ""DB00773""]","[""CID10339178"", ""CID36462""]",extensive stage small cell lung cancer,Neoplasms of the respiratory system,DB00958,DB00773,23
NCT00017563,"[[""docetaxel""], [""mitoxantrone hydrochloride""]]","[""DB01248"", ""DB01204""]","[""CID148124"", ""CID51082""]",prostate cancer,Diseases of the male genital system,DB01248,DB01204,1
NCT00018902,"[[""citalopram"", ""Celexa""], [""fluoxetine"", ""Prozac""]]","[""DB00215"", ""DB00472""]","[""CID2771"", ""CID3386""]",depression,Mood disorders,DB00215,DB00472,3
NCT00020761,"[[""paclitaxel""], [""irinotecan""]]","[""DB01229"", ""DB00762""]","[""-1"", ""CID60838""]",esophageal cancer,Diseases of oesophagus,DB01229,DB00762,7
NCT00020761,"[[""paclitaxel""], [""irinotecan""]]","[""DB01229"", ""DB00762""]","[""-1"", ""CID60838""]",gastric cancer,Diseases of the stomach or the duodenum,DB01229,DB00762,6
NCT00020787,"[[""cisplatin"", ""cisplatin"", ""cisplatin""], [""fluorouracil"", ""fluorouracil""]]","[""DB00515"", ""DB00544""]","[""-1"", ""-1""]",gastric cancer,Diseases of the stomach or the duodenum,DB00515,DB00544,12
NCT00022516,"[[""cyclophosphamide"", ""Endoxan"", ""cytoxan""], [""methotrexate"", ""Trexall""]]","[""DB00531"", ""DB00563""]","[""CID2907"", ""CID126941""]",breast cancer,Disorders of breast,DB00531,DB00563,3
NCT00022698,"[[""capecitabine""], [""irinotecan""]]","[""DB01101"", ""DB00762""]","[""CID60953"", ""CID60838""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01101,DB00762,14
NCT00023920,"[[""cytarabine"", ""cytarabine"", ""Ara-C"", ""cytarabine"", ""cytosar"", ""cytarabine""], [""idarubicin"", ""idarubicin"", ""idarubicin"", ""idarubicin""]]","[""DB00987"", ""DB01177""]","[""CID6253"", ""CID42890""]",blastic phase chronic myelogenous leukemia,Neoplasms,DB00987,DB01177,71
NCT00023959,"[[""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil""], [""hydroxyurea"", ""hydroxyurea"", ""hydroxyurea"", ""Hydrea"", ""hydroxyurea""]]","[""DB00544"", ""DB01005""]","[""-1"", ""CID3657""]",recurrent adenoid cystic carcinoma of the oral cavity,Neoplasms of the respiratory system,DB00544,DB01005,19
NCT00023959,"[[""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil""], [""hydroxyurea"", ""hydroxyurea"", ""hydroxyurea"", ""Hydrea"", ""hydroxyurea""]]","[""DB00544"", ""DB01005""]","[""-1"", ""CID3657""]",recurrent basal cell carcinoma of the lip,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00544,DB01005,20
NCT00023959,"[[""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil""], [""hydroxyurea"", ""hydroxyurea"", ""hydroxyurea"", ""Hydrea"", ""hydroxyurea""]]","[""DB00544"", ""DB01005""]","[""-1"", ""CID3657""]",recurrent squamous cell carcinoma of the paranasal sinus and nasal cavity,"In situ neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues",DB00544,DB01005,1
NCT00023959,"[[""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil""], [""hydroxyurea"", ""hydroxyurea"", ""hydroxyurea"", ""Hydrea"", ""hydroxyurea""]]","[""DB00544"", ""DB01005""]","[""-1"", ""CID3657""]",stage iii verrucous carcinoma of the oral cavity,Malignant neoplasms involving the skin,DB00544,DB01005,2
NCT00026494,"[[""temozolomide""], [""vinorelbine""]]","[""DB00853"", ""DB00361""]","[""CID5394"", ""CID60780""]",metastatic cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00853,DB00361,1
NCT00027612,"[[""carmustine""], [""irinotecan""]]","[""DB00262"", ""DB00762""]","[""CID2578"", ""CID60838""]",brain and central nervous system tumors,Neoplasms,DB00262,DB00762,1
NCT00028925,"[[""topotecan hydrochloride""], [""carboplatin""]]","[""DB01030"", ""DB00958""]","[""CID60699"", ""-1""]",lung cancer,Neoplasms of the respiratory system,DB01030,DB00958,3
NCT00030264,"[[""methotrexate""], [""vinblastine""]]","[""DB00563"", ""DB00570""]","[""CID126941"", ""CID241903""]",neurofibromatosis type 1,Inherited cancer-predisposing syndromes,DB00563,DB00570,1
NCT00030407,"[[""docetaxel"", ""Taxotere""], [""celecoxib"", ""Celebrex""]]","[""DB01248"", ""DB00482""]","[""CID148124"", ""CID2662""]",lung cancer,Neoplasms of the respiratory system,DB01248,DB00482,2
NCT00030576,"[[""cisplatin""], [""erlotinib""]]","[""DB00515"", ""DB00530""]","[""-1"", ""CID176870""]",head and neck cancer,Neoplasms of the nervous system,DB00515,DB00530,1
NCT00031395,"[[""methylphenidate"", ""methylphenidate""], [""clonidine""]]","[""DB00422"", ""DB00575""]","[""-1"", ""CID2803""]",attention deficit disorder with hyperactivity,Neurodevelopmental disorders,DB00422,DB00575,2
NCT00031434,"[[""valganciclovir""], [""ganciclovir""]]","[""DB01610"", ""DB01004""]","[""CID64147"", ""-1""]",cytomegalovirus infections,Cytomegaloviral disease,DB01610,DB01004,6
NCT00033371,"[[""celecoxib"", ""Celebrex"", ""SC 58635""], [""eflornithine"", ""eflornithine"", ""eflornithine""]]","[""DB00482"", ""DB06243""]","[""CID2662"", ""CID3009""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00482,DB06243,1
NCT00033371,"[[""celecoxib"", ""Celebrex"", ""SC 58635""], [""eflornithine"", ""eflornithine"", ""eflornithine""]]","[""DB00482"", ""DB06243""]","[""CID2662"", ""CID3009""]",familial adenomatous polyposis,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues",DB00482,DB06243,1
NCT00033449,"[[""cisplatin"", ""cisplatin"", ""cisplatin"", ""cisplatin"", ""cisplatin""], [""gefitinib"", ""Iressa"", ""ZD0101""]]","[""DB00515"", ""DB00317""]","[""-1"", ""CID123631""]",stage iv squamous cell carcinoma of the lip and oral cavity,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00515,DB00317,2
NCT00033449,"[[""cisplatin"", ""cisplatin"", ""cisplatin"", ""cisplatin"", ""cisplatin""], [""gefitinib"", ""Iressa"", ""ZD0101""]]","[""DB00515"", ""DB00317""]","[""-1"", ""CID123631""]",stage iv squamous cell carcinoma of the oropharynx,Neoplasms of the respiratory system,DB00515,DB00317,6
NCT00037817,"[[""celecoxib""], [""decitabine""]]","[""DB00482"", ""DB01262""]","[""CID2662"", ""CID451668""]",advanced esophageal cancers,Diseases of oesophagus,DB00482,DB01262,1
NCT00037817,"[[""celecoxib""], [""decitabine""]]","[""DB00482"", ""DB01262""]","[""CID2662"", ""CID451668""]",primary small cell lung cancers,Neoplasms of the respiratory system,DB00482,DB01262,2
