id,drug_names,drugbank_identifier,pubchem_identifier,conditions,ICD_top_level_name,drugbank_id_A,drugbank_id_B,drugA,drugB,Combination_Count
NCT00003838,"[[""methotrexate"", ""methotrexate""], [""cyclosporine"", ""cyclosporine""]]","[""DB00563"", ""DB00091""]","[""CID126941"", ""CID5284373""]",myeloproliferative disorders,Neoplasms,DB00563,DB00091,"['methotrexate', 'methotrexate']","['cyclosporine', 'cyclosporine']",10
NCT00003875,"[[""busulfan"", ""busulfan"", ""Myeloleukon"", ""Mitosan"", ""Misulfan"", ""busulfan""], [""etoposide"", ""VP-16"", ""etoposide"", ""VP-16""]]","[""DB01008"", ""DB00773""]","[""CID2478"", ""CID36462""]",adult acute myeloid leukemia in remission,Neoplasms,DB01008,DB00773,"['busulfan', 'busulfan', 'Myeloleukon', 'Mitosan', 'Misulfan', 'busulfan']","['etoposide', 'VP-16', 'etoposide', 'VP-16']",8
NCT00003900,"[[""docetaxel""], [""irinotecan""]]","[""DB01248"", ""DB00762""]","[""CID148124"", ""CID60838""]",lung cancer,Neoplasms of the respiratory system,DB01248,DB00762,['docetaxel'],['irinotecan'],2
NCT00003935,"[[""vincristine sulfate"", ""Oncovin"", ""vincristine""], [""etoposide"", ""VP-16""]]","[""DB00541"", ""DB00773""]","[""CID5388992"", ""CID36462""]",brain tumors,Neoplasms of brain or central nervous system,DB00541,DB00773,"['vincristine sulfate', 'Oncovin', 'vincristine']","['etoposide', 'VP-16']",2
NCT00003994,"[[""carboplatin"", ""Paraplatin"", ""Carboplat"", ""carboplatin"", ""Paraplatin"", ""JM-8""], [""cisplatin"", ""cisplatin"", ""cisplatin"", ""cisplatin"", ""cisplatin""]]","[""DB00958"", ""DB00515""]","[""CID10339178"", ""-1""]",childhood hepatoblastoma,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00958,DB00515,"['carboplatin', 'Paraplatin', 'Carboplat', 'carboplatin', 'Paraplatin', 'JM-8']","['cisplatin', 'cisplatin', 'cisplatin', 'cisplatin', 'cisplatin']",4
NCT00004001,"[[""estramustine""], [""docetaxel""]]","[""DB01196"", ""DB01248""]","[""CID259331"", ""CID148124""]",prostate cancer,Diseases of the male genital system,DB01196,DB01248,['estramustine'],['docetaxel'],1
NCT00004001,"[[""prednisone""], [""mitoxantrone""]]","[""DB00635"", ""DB01204""]","[""-1"", ""-1""]",prostate cancer,Diseases of the male genital system,DB00635,DB01204,['prednisone'],['mitoxantrone'],15
NCT00004126,"[[""oxaliplatin""], [""paclitaxel""]]","[""DB00526"", ""DB01229""]","[""CID11947679"", ""-1""]",lung cancer,Neoplasms of the respiratory system,DB00526,DB01229,['oxaliplatin'],['paclitaxel'],1
NCT00004135,"[[""fludarabine""], [""cyclophosphamide""]]","[""DB01073"", ""DB00531""]","[""-1"", ""-1""]",kidney cancer,Diseases of the urinary system,DB01073,DB00531,['fludarabine'],['cyclophosphamide'],22
NCT00004142,"[[""floxuridine""], [""fluorouracil"", ""Efudex"", ""fluorouracil"", ""fluorouracil"", ""Adrucil""]]","[""DB00322"", ""DB00544""]","[""CID5790"", ""-1""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00322,DB00544,['floxuridine'],"['fluorouracil', 'Efudex', 'fluorouracil', 'fluorouracil', 'Adrucil']",2
NCT00004189,"[[""becatecarin""], [""cisplatin""]]","[""DB06362"", ""DB00515""]","[""CID101524"", ""-1""]",lymphoma,Neoplasms,DB06362,DB00515,['becatecarin'],['cisplatin'],1
NCT00004189,"[[""becatecarin""], [""cisplatin""]]","[""DB06362"", ""DB00515""]","[""CID101524"", ""-1""]",small intestine cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB06362,DB00515,['becatecarin'],['cisplatin'],1
NCT00004235,"[[""irinotecan""], [""docetaxel""]]","[""DB00762"", ""DB01248""]","[""CID60838"", ""CID148124""]",esophageal cancer,Diseases of oesophagus,DB00762,DB01248,['irinotecan'],['docetaxel'],12
NCT00004235,"[[""irinotecan""], [""docetaxel""]]","[""DB00762"", ""DB01248""]","[""CID60838"", ""CID148124""]",gastric cancer,Diseases of the stomach or the duodenum,DB00762,DB01248,['irinotecan'],['docetaxel'],8
NCT00004259,"[[""temozolomide""], [""carmustine""]]","[""DB00853"", ""DB00262""]","[""CID5394"", ""CID2578""]",brain and central nervous system tumors,Neoplasms,DB00853,DB00262,['temozolomide'],['carmustine'],2
NCT00004259,"[[""ccnu""], [""carmustine""]]","[""DB01206"", ""DB00262""]","[""CID3950"", ""CID2578""]",brain and central nervous system tumors,Neoplasms,DB01206,DB00262,['ccnu'],['carmustine'],1
NCT00004266,"[[""nifedipine""], [""simvastatin""]]","[""DB01115"", ""DB00641""]","[""CID4485"", ""CID54454""]",diabetic nephropathy,Chronic kidney disease,DB01115,DB00641,['nifedipine'],['simvastatin'],1
NCT00004266,"[[""lisinopril""], [""simvastatin""]]","[""DB00722"", ""DB00641""]","[""CID5362119"", ""CID54454""]",diabetic nephropathy,Chronic kidney disease,DB00722,DB00641,['lisinopril'],['simvastatin'],1
NCT00004474,"[[""cyclophosphamide""], [""lymphocyte immune globulin, anti-thymocyte globulin""]]","[""DB00531"", ""DB09312""]","[""-1"", ""-1""]",aplastic anemia,Anaemias or other erythrocyte disorders,DB00531,DB09312,['cyclophosphamide'],"['lymphocyte immune globulin, anti-thymocyte globulin']",1
NCT00004554,"[[""naltrexone""], [""sertraline""]]","[""DB00704"", ""DB01104""]","[""CID5360515"", ""CID68617""]",depression,Mood disorders,DB00704,DB01104,['naltrexone'],['sertraline'],1
NCT00004635,"[[""goserelin""], [""leuprolide acetate"", ""leuprolide""]]","[""DB00014"", ""DB00007""]","[""CID5311128"", ""CID657180""]",prostate cancer,Diseases of the male genital system,DB00014,DB00007,['goserelin'],"['leuprolide acetate', 'leuprolide']",2
NCT00004862,"[[""fludarabine""], [""cytarabine""]]","[""DB01073"", ""DB00987""]","[""-1"", ""CID6253""]",leukemia,Neoplasms,DB01073,DB00987,['fludarabine'],['cytarabine'],3
NCT00005005,"[[""alendronate""], [""parathyroid hormone""]]","[""DB00630"", ""DB05829""]","[""CID2088"", ""-1""]",osteoporosis,Osteopathies or chondropathies,DB00630,DB05829,['alendronate'],['parathyroid hormone'],2
NCT00005028,"[[""paclitaxel""], [""bryostatin 1""]]","[""DB01229"", ""DB11752""]","[""-1"", ""CID5280757""]",prostate cancer,Diseases of the male genital system,DB01229,DB11752,['paclitaxel'],['bryostatin 1'],1
NCT00005066,"[[""O(6)-benzylguanine""], [""carmustine""]]","[""DB11919"", ""DB00262""]","[""-1"", ""CID2578""]",sarcoma,Malignant neoplasms involving the skin,DB11919,DB00262,['O(6)-benzylguanine'],['carmustine'],2
NCT00005087,"[[""cisplatin""], [""paclitaxel""]]","[""DB00515"", ""DB01229""]","[""-1"", ""-1""]",head and neck cancer,Neoplasms of the nervous system,DB00515,DB01229,['cisplatin'],['paclitaxel'],12
NCT00005113,"[[""tacrolimus""], [""cyclosporine"", ""cyclosporine""]]","[""DB00864"", ""DB00091""]","[""CID445643"", ""CID5284373""]",end-stage renal disease,Diseases of the urinary system,DB00864,DB00091,['tacrolimus'],"['cyclosporine', 'cyclosporine']",1
NCT00005113,"[[""tacrolimus""], [""cyclosporine"", ""cyclosporine""]]","[""DB00864"", ""DB00091""]","[""CID445643"", ""CID5284373""]",kidney transplantation,Postprocedural disorders of eye or ocular adnexa,DB00864,DB00091,['tacrolimus'],"['cyclosporine', 'cyclosporine']",2
NCT00005602,"[[""carboplatin"", ""Paraplatin"", ""carboplatin""], [""Cereport"", ""labradimil"", ""Investigational New Drugs""]]","[""DB00958"", ""DB06549""]","[""CID10339178"", ""CID6918284""]",brain and central nervous system tumors,Neoplasms,DB00958,DB06549,"['carboplatin', 'Paraplatin', 'carboplatin']","['Cereport', 'labradimil', 'Investigational New Drugs']",4
NCT00005818,"[[""irinotecan"", ""irinotecan"", ""Campto"", ""Camptosar"", ""Camptothecin-11""], [""Semaxinib"", ""SU 5416"", ""Semoxind""]]","[""DB00762"", ""DB05332""]","[""CID60838"", ""-1""]",adenocarcinoma of the colon,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00762,DB05332,"['irinotecan', 'irinotecan', 'Campto', 'Camptosar', 'Camptothecin-11']","['Semaxinib', 'SU 5416', 'Semoxind']",8
NCT00005835,"[[""Buthionine Sulfoximine""], [""melphalan"", ""melphalan""]]","[""DB12870"", ""DB01042""]","[""CID21157"", ""-1""]",neuroblastoma,Endocrine diseases,DB12870,DB01042,['Buthionine Sulfoximine'],"['melphalan', 'melphalan']",1
NCT00005849,"[[""paclitaxel""], [""bryostatin 1""]]","[""DB01229"", ""DB11752""]","[""-1"", ""CID5280757""]",lung cancer,Neoplasms of the respiratory system,DB01229,DB11752,['paclitaxel'],['bryostatin 1'],1
NCT00005937,"[[""cyclosporine""], [""lymphocyte immune globulin, anti-thymocyte globulin""]]","[""DB00091"", ""DB09312""]","[""CID5284373"", ""-1""]",myelodysplastic syndrome,Neoplasms,DB00091,DB09312,['cyclosporine'],"['lymphocyte immune globulin, anti-thymocyte globulin']",5
NCT00005963,"[[""carboplatin""], [""docetaxel""]]","[""DB00958"", ""DB01248""]","[""-1"", ""CID148124""]",breast cancer,Disorders of breast,DB00958,DB01248,['carboplatin'],['docetaxel'],21
